,correct_choice,correct_image,response_letter,correct,response_time,respondent
0,C,1.0,C,True,7832.0,7
1,B,2.0,B,True,5027.0,7
2,B,3.0,B,True,4280.0,7
3,D,4.0,D,True,3411.0,7
4,D,5.0,D,True,4417.0,7
5,A,6.0,D,False,4879.0,7
6,A,7.0,A,True,3394.0,7
7,A,8.0,D,False,4946.0,7
8,D,9.0,D,True,2011.0,7
9,A,10.0,A,True,2394.0,7
10,A,11.0,A,True,7913.0,7
11,B,12.0,A,False,4011.0,7
12,C,13.0,A,False,3409.0,7
13,A,14.0,D,False,5166.0,7
14,B,15.0,B,True,2958.0,7
15,D,16.0,C,False,4815.0,7
16,A,17.0,B,False,5075.0,7
17,B,18.0,D,False,2065.0,7
